timestamp,smoothed_ear,smoothed_mar,blink_count,drowsy,yawn,head_tilt_deg,liveness_ok
2025-08-12T13:58:40.396944,0.363,0.044,10,0,0,2.47,1
2025-08-12T13:58:41.412057,0.336,0.009,10,0,0,0.07,1
2025-08-12T13:58:42.417049,0.369,0.015,10,0,0,0.57,0
2025-08-12T13:58:43.456249,0.330,0.018,10,0,0,0.09,1
2025-08-12T13:58:44.458841,0.297,0.029,10,0,0,0.53,1
2025-08-12T13:58:45.469107,0.360,0.041,10,0,0,2.63,1
2025-08-12T13:58:46.515843,0.353,0.013,10,0,0,2.54,1
2025-08-12T13:58:47.518393,0.351,0.009,10,0,0,2.68,0
2025-08-12T13:58:48.540802,0.359,0.019,10,0,0,2.91,0
2025-08-12T13:58:49.548983,0.357,0.039,10,0,0,2.70,0
2025-08-12T13:58:50.560995,0.270,0.016,11,0,0,2.54,1
2025-08-12T13:58:51.582029,0.343,0.031,11,0,0,2.45,1
2025-08-12T13:58:52.584944,0.348,0.049,11,0,0,2.62,1
2025-08-12T13:58:53.594324,0.342,0.031,11,0,0,2.73,1
2025-08-12T13:58:54.626882,0.344,0.035,11,0,0,2.94,0
2025-08-12T13:58:55.632606,0.233,0.021,11,0,0,3.94,1
2025-08-12T13:58:56.641235,0.306,0.020,11,0,0,0.94,1
2025-08-12T13:58:57.666486,0.116,0.028,12,0,0,1.82,1
2025-08-12T13:58:58.682394,0.107,0.003,12,0,0,3.27,1
2025-08-12T13:58:59.690642,0.151,0.008,12,1,0,2.88,1
2025-08-12T13:59:00.700169,0.076,0.005,12,1,0,1.15,1
2025-08-12T13:59:01.706700,0.101,0.005,12,0,0,0.85,0
2025-08-12T13:59:02.712036,0.148,0.004,12,0,0,2.26,0
2025-08-12T13:59:03.733612,0.198,0.005,12,0,0,1.21,0
2025-08-12T13:59:04.780509,0.331,0.008,12,0,0,2.09,1
2025-08-12T13:59:05.798557,0.248,0.013,12,0,0,6.33,1
2025-08-12T13:59:06.846141,0.305,0.006,12,0,0,3.49,1
2025-08-12T15:01:11.253668,0.291,0.046,0,0,0,8.90,0
2025-08-12T15:01:12.253883,0.301,0.019,0,0,0,5.85,0
2025-08-12T15:01:13.276587,0.305,0.007,0,0,0,3.85,0
2025-08-12T15:01:14.277052,0.148,0.007,2,0,0,1.32,1
2025-08-12T15:01:15.315910,0.261,0.003,4,0,0,0.52,1
2025-08-12T15:01:16.322569,0.269,0.008,5,0,0,0.69,1
2025-08-12T15:01:17.331327,0.269,0.002,6,0,0,7.27,1
2025-08-12T15:01:18.338286,0.329,0.015,7,0,0,7.77,1
2025-08-12T15:01:19.374183,0.321,0.012,7,0,0,5.55,1
2025-08-12T15:01:20.402699,0.283,0.007,7,0,0,4.71,1
2025-08-12T15:01:21.406464,0.299,0.008,7,0,0,1.34,1
2025-08-12T15:01:22.415785,0.088,0.003,7,0,0,6.02,1
2025-08-12T15:01:23.425229,0.057,0.003,7,0,0,4.08,1
2025-08-12T15:01:24.462888,0.064,0.002,7,0,0,6.42,0
2025-08-12T15:01:25.476431,0.053,0.004,7,1,0,6.87,1
2025-08-12T15:01:26.515261,0.077,0.005,7,0,0,8.07,0
2025-08-12T15:01:27.539594,0.077,0.006,7,0,0,9.23,0
2025-08-12T15:01:28.541442,0.254,0.005,7,0,0,7.94,0
2025-08-12T15:01:29.559019,0.249,0.006,7,0,0,7.66,0
2025-08-12T15:01:30.584282,0.311,0.016,7,0,0,4.13,1
2025-08-12T15:01:32.741953,0.296,0.006,7,0,0,6.21,1
2025-08-12T15:01:34.784322,0.300,0.008,7,0,0,2.10,1
2025-08-12T15:01:36.827391,0.299,0.008,7,0,0,1.11,1
2025-08-12T15:01:38.863707,0.297,0.009,7,0,0,5.45,1
2025-08-12T15:01:40.919578,0.294,0.011,7,0,0,10.80,1
2025-08-12T15:01:41.925161,0.289,0.011,7,0,0,9.90,1
2025-08-12T15:01:42.923503,0.268,0.025,7,0,0,0.25,0
2025-08-12T15:01:43.952820,0.226,0.004,7,0,0,1.80,0
2025-08-12T15:01:44.956916,0.098,0.003,7,0,0,1.53,0
2025-08-12T15:01:45.973465,0.099,0.003,7,0,0,2.78,0
2025-08-12T15:01:47.015133,0.108,0.002,7,0,0,2.10,0
2025-08-12T15:01:48.051876,0.090,0.003,7,0,0,1.25,0
2025-08-12T15:01:49.060547,0.106,0.002,7,0,0,2.11,0
2025-08-12T15:01:50.095436,0.304,0.004,7,0,0,0.75,0
2025-08-12T15:01:51.097426,0.277,0.004,8,0,0,1.63,1
2025-08-12T15:01:52.125349,0.259,0.018,8,0,0,0.48,1
2025-08-12T15:01:53.141804,0.304,0.003,9,0,0,3.07,1
2025-08-12T15:01:54.170741,0.268,0.003,10,0,0,4.80,1
2025-08-12T15:01:55.185328,0.263,0.005,10,0,0,0.83,1
2025-08-12T15:01:56.228192,0.155,0.003,11,0,0,0.23,1
2025-08-12T15:01:57.230473,0.294,0.004,11,0,0,0.67,1
2025-08-12T15:01:58.248927,0.299,0.017,11,0,0,10.70,1
2025-08-12T15:01:59.270282,0.305,0.024,11,0,0,11.06,0
2025-08-12T15:02:00.275978,0.242,0.023,11,0,0,9.49,1
2025-08-12T15:02:01.277901,0.291,0.004,11,0,0,20.51,1
2025-08-12T15:02:02.290624,0.383,0.025,11,0,0,21.50,1
2025-08-12T15:02:03.293205,0.303,0.023,12,0,0,17.37,1
2025-08-12T15:02:04.303563,0.301,0.015,12,0,0,0.96,1
2025-08-12T15:02:05.332966,0.307,0.018,12,0,0,1.55,1
2025-08-12T15:02:06.336424,0.232,0.023,12,0,0,4.62,1
2025-08-12T15:02:07.341238,0.175,0.036,12,0,0,0.41,1
2025-08-12T15:02:08.353859,0.234,0.006,12,0,0,18.39,1
2025-08-12T15:02:13.652944,0.231,0.019,12,0,0,22.07,1
2025-08-12T15:02:14.673964,0.299,0.005,12,0,0,16.39,1
2025-08-12T15:02:15.681581,0.293,0.131,12,0,0,4.39,1
2025-08-12T15:02:16.691006,0.328,0.198,12,0,0,6.15,1
2025-08-12T15:02:17.703135,0.310,0.005,12,0,0,6.66,1
2025-08-12T15:02:18.704442,0.271,0.009,12,0,0,3.93,1
2025-08-12T15:02:19.724189,0.278,0.006,12,0,0,4.32,0
