timestamp,ear,mar,blink_count,drowsy,yawn,liveness_ok
2025-08-12T13:32:54.904052,0.317,0.010,14,0,0,1
2025-08-12T13:32:55.910706,0.296,0.011,14,0,0,1
2025-08-12T13:32:56.914331,0.269,0.010,15,0,0,1
2025-08-12T13:32:57.930820,0.238,0.003,15,0,0,1
2025-08-12T13:32:58.964824,0.327,0.019,15,0,0,1
2025-08-12T13:33:00.636773,0.330,0.015,15,0,0,1
2025-08-12T13:33:01.664341,0.201,0.006,16,1,0,1
2025-08-12T13:33:02.680423,0.296,0.011,16,0,0,1
2025-08-12T13:33:04.153967,0.310,0.012,16,0,0,1
2025-08-12T13:33:05.159143,0.304,0.003,16,0,0,1
2025-08-12T13:33:06.167629,0.100,0.004,16,1,0,0
2025-08-12T13:33:07.174778,0.077,0.003,16,1,0,1
2025-08-12T13:33:08.185430,0.261,0.010,16,0,0,0
2025-08-12T13:33:09.205617,0.278,0.002,16,0,0,0
2025-08-12T13:33:10.216322,0.097,0.002,16,1,0,0
2025-08-12T13:33:11.219566,0.121,0.002,16,1,0,0
2025-08-12T13:33:12.226161,0.121,0.004,16,1,0,0
2025-08-12T13:33:13.232997,0.276,0.002,16,0,0,1
2025-08-12T13:33:14.264596,0.307,0.009,16,0,0,1
2025-08-12T13:33:15.266083,0.267,0.022,16,0,0,1
2025-08-12T13:33:16.278157,0.336,0.006,16,0,0,0
2025-08-12T13:33:17.285782,0.316,0.018,18,1,0,1
2025-08-12T13:33:18.299437,0.330,0.002,18,0,0,1
2025-08-12T13:33:19.307032,0.282,0.162,18,0,0,1
2025-08-12T13:33:20.326290,0.261,0.719,18,0,1,1
2025-08-12T13:33:21.337883,0.239,0.836,18,0,1,1
2025-08-12T13:33:22.377089,0.267,0.946,18,0,1,1
2025-08-12T13:33:23.378526,0.170,0.721,18,0,1,1
2025-08-12T13:33:24.388601,0.222,0.701,18,0,1,0
2025-08-12T13:33:25.404740,0.219,0.013,18,0,0,1
2025-08-12T13:33:26.419610,0.245,0.008,18,0,0,1
2025-08-12T13:33:27.432443,0.172,0.867,18,0,1,1
2025-08-12T13:33:28.440848,0.250,0.683,18,0,1,1
2025-08-12T13:33:29.451294,0.238,0.001,19,1,0,1
2025-08-12T13:33:30.454631,0.341,0.002,19,0,0,1
2025-08-12T13:33:31.466523,0.331,0.012,20,0,0,1
2025-08-12T13:33:32.488841,0.316,0.004,21,0,0,1
2025-08-12T13:33:33.496313,0.307,0.007,21,0,0,1
2025-08-12T13:33:34.497264,0.304,0.002,21,0,0,1
2025-08-12T13:33:35.509127,0.289,0.095,21,0,0,1
2025-08-12T13:33:36.515771,0.296,0.005,21,0,0,1
2025-08-12T13:33:37.529030,0.255,0.186,21,1,0,1
2025-08-12T13:33:38.547970,0.310,0.004,21,0,0,0
2025-08-12T13:33:39.566465,0.320,0.005,21,0,0,0
2025-08-12T13:33:40.567148,0.256,0.004,22,0,0,1
2025-08-12T13:33:41.578408,0.059,0.006,22,1,0,1
2025-08-12T13:33:42.584026,0.064,0.003,22,1,0,1
2025-08-12T13:33:43.585906,0.058,0.003,22,1,0,1
2025-08-12T13:33:44.593381,0.071,0.004,22,1,0,0
2025-08-12T13:33:45.650710,0.081,0.012,22,1,0,1
2025-08-12T13:33:46.663963,0.298,0.004,22,0,0,0
2025-08-12T13:33:47.666044,0.232,0.005,22,0,0,0
2025-08-12T13:33:48.675901,0.084,0.002,23,1,0,1
2025-08-12T13:33:49.687087,0.047,0.004,23,1,0,1
2025-08-12T13:33:50.694119,0.078,0.003,23,1,0,1
2025-08-12T13:33:51.713594,0.068,0.005,23,1,0,1
2025-08-12T13:33:52.726938,0.095,0.005,23,0,0,0
2025-08-12T13:33:53.734308,0.308,0.008,23,0,0,1
2025-08-12T13:33:54.743795,0.322,0.005,24,0,0,1
2025-08-12T13:33:55.750775,0.274,0.005,24,0,0,1
2025-08-12T13:33:56.789365,0.290,0.014,25,0,0,1
2025-08-12T13:33:57.812338,0.332,0.004,25,0,0,1
2025-08-12T13:33:58.817059,0.315,0.012,26,0,0,1
2025-08-12T13:33:59.836072,0.340,0.009,26,0,0,1
2025-08-12T13:34:00.839489,0.324,0.049,26,0,0,1
